,Internal ID,ID,Name,Duplicate,Category,Company Name,Is Individual,Sales Rep,Status,Territory,Lead Source,Partner,Start Date,End Date,Reminder Days,Date Created,Last Modified,Primary Contact,Phone,Email,Fax,Alt. Contact,Office Phone,Comments,Billing Address 1,Billing Address 2,Billing City,Billing State/Province,Billing Zip,Billing Country,Shipping Address,Billing Address,Account,Login Access,Terms,Price Level,Taxable,Tax Item,Resale Number,Balance,Unbilled Orders,Credit Limit,Overdue Balance,Days Overdue,On Credit Hold,Override Credit Hold Off,First Name,Last Name,Date of First Sale,Prospect Date,Reminder Days,County,Shipping Item
14,801,242,Family Wellness Chiro,,Chiropractor,Family Wellness Chiro,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,10/27/10 15:29,8/16/11 14:37,,770-921-2830,,,,,,1066 Killlian Hill Rd.,Suite 103,Lilburn,GA,30047,United States,Family Wellness Chiro 1446 Wilburn Stone Mt. Rd Stone Mountain GA 30087,Family Wellness Chiro 1066 Killlian Hill Rd. Suite 103 Lilburn GA 30047,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,10/27/10, ,,,
15,811,251,Mascali Chiropractic,,Chiropractor,Mascali Chiropractic,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,10/29/10 15:30,8/19/11 14:28,,770-427-8877,,770-421-0008,,,,140 Vann St,Ste 400,Marietta,GA,30060,United States,Mascali Chiropractic 140 Vann St Ste 400 Marietta GA 30060,Mascali Chiropractic 140 Vann St Ste 400 Marietta GA 30060,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,11/1/10, ,,,
16,836,274,Kentuckyana Chiropractic,,Chiropractor,Kentuckyana Chiropractic,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,11/10/10 10:19,2/13/12 20:08,,270-234-9088,,270-234-0288,,,,2413 Ring Rd.,Suite 106,Elizabethtown,KY,42701,United States,Kentuckyana Chiropractic 2413 Ring Rd. Suite 106 Elizabethtown KY 42701,Kentuckyana Chiropractic 2413 Ring Rd. Suite 106 Elizabethtown KY 42701,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,11/10/10, ,,,
17,846,283,North Georgia Chiropractic,,Chiropractor,North Georgia Chiropractic,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,11/17/10 9:50,7/11/11 14:14,,706-965-5777,,706-965-5787,,,,29 Legion St,,Ringgold,GA,30736,United States,Dr. Smith North Georgia Chiropractic 29 Legion St Ringgold GA 30736,Dr. Smith North Georgia Chiropractic 29 Legion St Ringgold GA 30736,,No,Net 30,Tru-Blu Price,Yes,,,181.48,0,,0,0,No,No,,,11/17/10, ,,,
18,862,297,Crawford Chiropractic,,Chiropractor,Crawford Chiropractic,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,11/23/10 14:10,7/11/11 14:14,,706-891-1011,,706-891-1013,,,,P.O. Box 2190,,Fort Oglethorpe,GA,30742,United States,Crawford Chiropractic 4205 Cloud Springs Rd Ringgold GA 30736,Crawford Chiropractic P.O. Box 2190 Fort Oglethorpe GA 30742,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,10/20/11, ,,,
19,880,309,Awaken to Wellness,,Chiropractor,Awaken to Wellness,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,12/1/10 15:30,2/13/12 20:56,,502-454-3500,,502-454-3015,,,,3000 Breckenridge Lane,,Louisville,KY,40220,United States,Elieen Muench Awaken to Wellness 3000 Breckenridge Lane Louisville KY 40220,Elieen Muench Awaken to Wellness 3000 Breckenridge Lane Louisville KY 40220,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,12/3/10, ,,,
20,885,313,LAKEWAY CHIROPRACTIC CENTER,,Chiropractor,LAKEWAY CHIROPRACTIC CENTER,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,12/2/10 18:12,7/11/11 14:14,,270-866-5553,,270-866-6881,,,,2329 LAKEWAY DRIVE STE G,,Russell Springs,KY,42642,United States,LAKEWAY CHIROPRACTIC CENTER 2329 LAKEWAY DRIVE STE G Russell Springs KY 42642,LAKEWAY CHIROPRACTIC CENTER 2329 LAKEWAY DRIVE STE G Russell Springs KY 42642,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,12/3/10, ,,,
21,887,315,Michael A. Levinson DC PC,,Chiropractor,Michael A. Levinson DC PC,No,"Patella, William J",CUSTOMER-Closed Won,,,,4/5/12,,,12/3/10 17:44,8/23/11 13:53,,770-499-0240,,,,,,1200 Ernest Barrett Parkway,,Kennesaw,GA,30144,United States,Michael A. Levinson DC PC 1200 Ernest Barrett Parkway Kennesaw GA 30144,Michael A. Levinson DC PC 1200 Ernest Barrett Parkway Kennesaw GA 30144,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,12/7/10, ,,,
22,899,321,Taylorsville Chiropractic,,Chiropractor,Taylorsville Chiropractic,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,12/7/10 15:31,7/11/11 14:14,,502-477-5000,,502-477-5005,,,,101 Settlers Center Rd,,Taylorsville,KY,40071,United States,Taylorsville Chiropractic 101 Settlers Center Rd Taylorsville KY 40071,Taylorsville Chiropractic 101 Settlers Center Rd Taylorsville KY 40071,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,12/7/10, ,,,
23,915,336,Gilliam Chirpractic,,Chiropractor,Gilliam Chirpractic,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,12/8/10 14:02,2/13/12 21:03,,423-638-4325,,,,,,452 East Bernard Ave.,,Greeneville,TN,37745,United States,Gilliam Chirpractic 452 East Bernard Ave. Greeneville TN 37745,Gilliam Chirpractic 452 East Bernard Ave. Greeneville TN 37745,,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,,,12/8/10, ,,,
24,921,341,Key Chiropractic,,Chiropractor,Key Chiropractic,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,12/9/10 12:37,10/3/11 8:06,,615-646-3522,,,,,,8124 Hwy 100,,Nashville,TN,37221,United States,Key Chiropractic 8124 Hwy 100 Nashville TN 37221,Key Chiropractic 8124 Hwy 100 Nashville TN 37221,,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,,,12/9/10, ,,,
25,924,344,Atlanta Chiropractic Injury Center,,Chiropractor,Atlanta Chiropractic Injury Center,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,12/9/10 15:43,8/16/11 13:30,,404-681-1300,,,,,,342 West Peachtree St,,Atlanta,GA,30308,United States,Dr. TW Johnson Atlanta Chiropractic Injury Center 342 West Peachtree St Atlanta GA 30308,Dr. TW Johnson Atlanta Chiropractic Injury Center 342 West Peachtree St Atlanta GA 30308,,No,Net 30,Tru-Blu Price,Yes,,,37.04,0,,0,0,No,No,,,12/10/10, ,,,
26,931,350,Brookhaven Chiropractic,,Chiropractor,Brookhaven Chiropractic,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,12/13/10 16:39,7/11/11 14:14,,404-237-0242,,404-237-4322,,,,4060-J Peachtree Road,,Atlanta,GA,30319,United States,Brookhaven Chiropractic 4060-J Peachtree Road Atlanta GA 30319,Brookhaven Chiropractic 4060-J Peachtree Road Atlanta GA 30319,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,12/13/10, ,,,
27,935,354,Cool Springs Back and Neck Care,,Chiropractor,Cool Springs Back and Neck Care,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,12/14/10 10:08,2/13/12 21:04,,615-661-0777,,,,,,130 Seaboard lane,Suite A10,Franklin,TN,37067,United States,Melissa Cool Springs Back and Neck Care 130 Seaboard lane Suite A10 Franklin TN 37067,Melissa Cool Springs Back and Neck Care 130 Seaboard lane Suite A10 Franklin TN 37067,,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,,,12/21/10, ,,,
28,945,363,Spinecare Chiropractic,,Chiropractor,Spinecare Chiropractic,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,7/7/11,,,12/14/10 17:18,9/1/11 9:20,,270-586-8740,,270-586-8743,,,,607 South Main,,Franklin,KY,42134,United States,DR. SANDA CRNKIC Spinecare Chiropractic 607 South Main Franklin KY 42134,DR. SANDA CRNKIC Spinecare Chiropractic 607 South Main Franklin KY 42134,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,12/14/10, ,,,
29,958,372,Wellness and Chiropractic Center of Douglasville,,Chiropractor,Wellness and Chiropractic Center of Douglasville,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,12/15/10 12:14,2/13/12 21:09,,770-365-8878,,,,,,7193 Douglas Blvd,Ste 101A,Douglasville,GA,30135,United States,Dr Russo Wellness and Chiropractic Center of Douglasville 7193 Douglas Blvd  Ste 101A Douglasville GA 30135,Dr Russo Wellness and Chiropractic Center of Douglasville 7193 Douglas Blvd  Ste 101A Douglasville GA 30135,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,12/16/10, ,,,
30,980,394,Chiropractic Arts,,Chiropractor,Chiropractic Arts,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,12/17/10 13:47,7/11/11 14:14,,423-305-1819,,423-305-1820,,,,6215 Lee Hwy Ste B,,Chattanooga,TN,37421,United States,Hannah Hackett Chiropractic Arts 6215 Lee Hwy Ste B Chattanooga TN 37421,Hannah Hackett Chiropractic Arts 6215 Lee Hwy Ste B Chattanooga TN 37421,,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,,,12/17/10, ,,,
31,1042,429,Today's Chiropractic,,Chiropractor,Today's Chiropractic,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,12/30/10 14:39,7/11/11 14:14,,502-955-7246,,502-955-1508,,,,254 Market Place Drive,,Louisville,KY,40229,United States,Today's Chiropractic 254 Market Place Drive Louisville KY 40229,Today's Chiropractic 254 Market Place Drive Louisville KY 40229,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,1/5/11, ,,,
32,1060,442,Hill Chiropractic,,Chiropractor,Hill Chiropractic,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,1/5/11 11:52,2/24/12 14:58,,270-781-1310,,270-781-1359,,,,1212 Ashley Circle Ste 5,,Bowling Green,KY,42104,United States,Hill Chiropractic 1212 Ashley Circle Ste 5 Bowling Green KY 42104,Hill Chiropractic 1212 Ashley Circle Ste 5 Bowling Green KY 42104,,No,Net 30,Tru-Blu Price,Yes,,,249.23,0,,249.23,169,Yes,No,,,1/5/11, ,,,
33,1062,444,Levinson Family Chiropractic,,Chiropractor,Levinson Family Chiropractic,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,1/5/11 14:39,7/11/11 14:14,,770-754-0037,,770-754-7828,,,,9950 Jones Bridge Rd,,Alpharetta,GA,30022,United States,Levinson Family Chiropractic 9950 Jones Bridge Rd Alpharetta GA 30022,Levinson Family Chiropractic 9950 Jones Bridge Rd Alpharetta GA 30022,,No,Net 30,Tru-Blu Price,Yes,,,164.9,0,,0,0,No,No,,,1/5/11, ,,,
34,1063,445,Merlin Chiropractic,,Chiropractor,Merlin Chiropractic,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,1/5/11 16:21,7/11/11 14:14,,270-685-0101,,,,,,1015 Southtown Blvd,,Owensboro,KY,42301,United States,Merlin Chiropractic 1015 Southtown Blvd Owensboro KY 42301,Merlin Chiropractic 1015 Southtown Blvd Owensboro KY 42301,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,1/6/11, ,,,
35,1091,466,Hillview Chiropractic,,Chiropractor,Hillview Chiropractic,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,1/14/11 11:52,7/11/11 14:14,,270-781-1111,swwgod@aol.com,270-781-4935,,,,2145 Nashville Rd,,Bowling Green,KY,42101,United States,Hillview Chiropractic 2145 Nashville Rd Bowling Green KY 42101,Hillview Chiropractic 2145 Nashville Rd Bowling Green KY 42101,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,1/14/11, ,,,
36,1139,502,"Dr. Lindsay Hathcock, Jr",,Chiropractor,"Dr. Lindsay Hathcock, Jr",No,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,1/24/11 18:07,7/11/11 14:14,,423-472-0606,,423-476-1262,,,,P.O. Box 1,,Cleveland,TN,37364-0001,United States,"Dr. Lindsay Hathcock, Jr 423 Central Ave NW Cleveland TN 37311","Dr. Lindsay Hathcock, Jr P.O. Box 1 Cleveland TN 37364-0001",,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,,,1/26/11, ,,,
37,1144,506,East Cobb Chiropractic Wellness,,Chiropractor,East Cobb Chiropractic Wellness,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,1/26/11 13:48,8/16/11 14:32,,770-843-4734,,,,,,3121 Hudson Pond LAne,,Marietta,GA,30062,United States,Dr. Dianna Dinser East Cobb Chiropractic Wellness 3121 Hudson Pond LAne Marietta GA 30062,Dr. Dianna Dinser East Cobb Chiropractic Wellness 3121 Hudson Pond LAne Marietta GA 30062,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,1/26/11, ,,,
38,1147,509,Dr. Robert N. Darnell Chiropractic,,Chiropractor,Dr. Robert N. Darnell Chiropractic,No,"Grimsley, Scott",CUSTOMER-Closed Won,,,,1/27/11,,,1/27/11 11:19,2/13/12 21:23,,270-765-5631,,,,,,4277 Bardstown Road,,Elizabethtown,KY,42701,United States,Dr. Robert N. Darnell Chiropractic 120 Helmwood Plaza Dr. Suite 103 Elizabethtown KY 42701,Dr. Robert N. Darnell Chiropractic 4277 Bardstown Road Elizabethtown KY 42701,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,5/11/11,1/27/11 11:19,,,
39,1161,519,Mendez Chiropractic Center,,Chiropractor,Mendez Chiropractic Center,No,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,1/31/11 15:19,7/11/11 14:14,,865-687-7246,,865-688-7965,,,,710 Merchants Dr,,Knoxville,TN,37912,United States,MELANIE MITCHELL Mendez Chiropractic Center 710 Merchants Dr Knoxville TN 37912,MELANIE MITCHELL Mendez Chiropractic Center 710 Merchants Dr Knoxville TN 37912,,No,Net 30,Tru-Blu Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,,,1/31/11, ,,,
40,1181,532,Anthony Chiropractic,,Chiropractor,Anthony Chiropractic,No,"Patella, William J",CUSTOMER-Closed Won,,,,2/4/11,,,2/4/11 13:09,2/13/12 21:24,,706-543-5901,,,,,,335 Hawthorne Lane,,Athens,GA,30606,United States,Betsy Anthony Chiropractic 335 Hawthorne Lane Athens GA 30606,Betsy Anthony Chiropractic 335 Hawthorne Lane Athens GA 30606,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,2/10/11, ,,,
41,1182,533,Dr. Larry J. Reuter,,Chiropractor,Dr. Larry J. Reuter,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,2/4/11 14:19,8/16/11 14:30,,770-445-4547,,,,,,4675 N. Shallowford Rd,Suite 100,Atlanta,GA,30338,United States,Dr. Larry J. Reuter 4675 N. Shallowford Rd Suite 100 Atlanta GA 30338,Dr. Larry J. Reuter 4675 N. Shallowford Rd Suite 100 Atlanta GA 30338,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,2/7/11, ,,,
42,1189,540,Mountain Chiropractic,,Chiropractor,Mountain Chiropractic,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,2/7/11 15:13,8/10/11 17:20,,706-632-6226,,706-258-3312,,,,2267 E. First St,,Blue Ridge,GA,30513,United States,Mountain Chiropractic 2267 E. First St Blue Ridge GA 30513,Mountain Chiropractic 2267 E. First St Blue Ridge GA 30513,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,2/7/11, ,,,
43,1192,543,Lithia Springs Family Chiropractic,,Chiropractor,Lithia Springs Family Chiropractic,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,2/8/11 14:06,7/11/11 14:14,,770-920-0067,,,,,,1758 Lee Rd,,Lithia Springs,GA,30122,United States,Lithia Springs Family Chiropractic 1758 Lee Rd Lithia Springs GA 30122,Lithia Springs Family Chiropractic 1758 Lee Rd Lithia Springs GA 30122,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,2/8/11, ,,,
44,1193,544,Georgia Chiropractic Group at Sixes,,Chiropractor,Georgia Chiropractic Group at Sixes,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,2/8/11 15:20,7/11/11 14:14,,770-720-1388,gcgsixes@gmail.com,,,,,3542 Sixes Rd Ste 100,,Canton,GA,30114,United States,Georgia Chiropractic Group at Sixes 3542 Sixes Rd Ste 100 Canton GA 30114,Georgia Chiropractic Group at Sixes 3542 Sixes Rd Ste 100 Canton GA 30114,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,2/8/11, ,,,
45,1196,545,Elkins Chiropractic Center,,Chiropractor,Elkins Chiropractic Center,No,"Patella, William J",CUSTOMER-Closed Won,,,,,,,2/9/11 14:39,7/11/11 14:14,,770-429-0507,,,,,,188 Anderson St SE,,Marietta,GA,30060,United States,Elkins Chiropractic Center 188 Anderson St SE Marietta GA 30060,Elkins Chiropractic Center 188 Anderson St SE Marietta GA 30060,,No,Net 30,Tru-Blu Price,Yes,,,0,0,,0,,No,No,,,2/10/11, ,,,
